id,user,local,device,day,hour,type,model,value
"5a147cc737a0a30484f94fee","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:31:40","corrente","sct-013","0.4"
"5a147ccc37a0a30484f94fef","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:31:45","corrente","sct-013","0.33"
"5a147cd137a0a30484f94ff0","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:31:50","corrente","sct-013","0.49"
"5a147cd637a0a30484f94ff1","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:31:56","corrente","sct-013","0.32"
"5a147cdc37a0a30484f94ff2","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:01","corrente","sct-013","0.53"
"5a147ce137a0a30484f94ff3","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:06","corrente","sct-013","0.35"
"5a147ce637a0a30484f94ff4","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:11","corrente","sct-013","0.51"
"5a147ceb37a0a30484f94ff5","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:16","corrente","sct-013","0.39"
"5a147cf037a0a30484f94ff6","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:21","corrente","sct-013","0.52"
"5a147cf537a0a30484f94ff7","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:26","corrente","sct-013","0.52"
"5a147cfa37a0a30484f94ff8","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:31","corrente","sct-013","0.42"
"5a147cff37a0a30484f94ff9","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:37","corrente","sct-013","0.49"
"5a147d0437a0a30484f94ffa","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:42","corrente","sct-013","0.34"
"5a147d0a37a0a30484f94ffb","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:47","corrente","sct-013","0.5"
"5a147d0f37a0a30484f94ffc","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:52","corrente","sct-013","0.54"
"5a147d1437a0a30484f94ffd","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:32:57","corrente","sct-013","0.5"
"5a147d1937a0a30484f94ffe","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:02","corrente","sct-013","0.48"
"5a147d1e37a0a30484f94fff","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:07","corrente","sct-013","0.45"
"5a147cb337a0a30484f94fea","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:31:20","corrente","sct-013","0.43"
"5a147d2337a0a30484f95000","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:12","corrente","sct-013","0.49"
"5a147d2837a0a30484f95001","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:17","corrente","sct-013","0.58"
"5a147d2d37a0a30484f95002","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:23","corrente","sct-013","0.41"
"5a147d3337a0a30484f95003","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:28","corrente","sct-013","0.35"
"5a147d3837a0a30484f95004","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:33","corrente","sct-013","0.32"
"5a147d3d37a0a30484f95005","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:38","corrente","sct-013","0.32"
"5a147d4237a0a30484f95006","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:43","corrente","sct-013","0.4"
"5a147d4737a0a30484f95007","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:48","corrente","sct-013","0.53"
"5a147d4c37a0a30484f95008","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:53","corrente","sct-013","0.39"
"5a147d5137a0a30484f95009","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:33:58","corrente","sct-013","0.47"
"5a147d5837a0a30484f9500a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:04","corrente","sct-013","0.38"
"5a147d5d37a0a30484f9500b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:10","corrente","sct-013","0.55"
"5a147d6737a0a30484f9500c","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:15","corrente","sct-013","0.44"
"5a147d6c37a0a30484f9500d","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:25","corrente","sct-013","0.52"
"5a147d7237a0a30484f9500e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:31","corrente","sct-013","0.35"
"5a147d7737a0a30484f9500f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:36","corrente","sct-013","0.37"
"5a147d7c37a0a30484f95010","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:41","corrente","sct-013","0.4"
"5a147d8137a0a30484f95011","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:46","corrente","sct-013","0.33"
"5a147d8637a0a30484f95012","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:51","corrente","sct-013","0.44"
"5a147d8b37a0a30484f95013","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:34:56","corrente","sct-013","0.33"
"5a147d9037a0a30484f95014","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:02","corrente","sct-013","0.48"
"5a147d9537a0a30484f95015","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:07","corrente","sct-013","0.43"
"5a147d9b37a0a30484f95016","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:12","corrente","sct-013","0.47"
"5a147da037a0a30484f95017","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:17","corrente","sct-013","0.46"
"5a147da537a0a30484f95018","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:22","corrente","sct-013","0.56"
"5a147daa37a0a30484f95019","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:27","corrente","sct-013","0.45"
"5a147daf37a0a30484f9501a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:32","corrente","sct-013","0.45"
"5a147db437a0a30484f9501b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:37","corrente","sct-013","0.57"
"5a147db937a0a30484f9501c","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:42","corrente","sct-013","0.5"
"5a147dbe37a0a30484f9501d","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:48","corrente","sct-013","0.57"
"5a147dc437a0a30484f9501e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:53","corrente","sct-013","0.41"
"5a147dca37a0a30484f9501f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:35:59","corrente","sct-013","0.58"
"5a147dcf37a0a30484f95020","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:04","corrente","sct-013","0.55"
"5a147dd437a0a30484f95021","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:09","corrente","sct-013","0.33"
"5a147dd937a0a30484f95022","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:14","corrente","sct-013","0.5"
"5a147dde37a0a30484f95023","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:19","corrente","sct-013","0.48"
"5a147de337a0a30484f95024","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:25","corrente","sct-013","0.51"
"5a147de937a0a30484f95025","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:30","corrente","sct-013","0.4"
"5a147dee37a0a30484f95026","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:35","corrente","sct-013","0.56"
"5a147df337a0a30484f95027","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:40","corrente","sct-013","0.42"
